NAME_2	Score	Counquered territories
Zory	0.5203676614052479	1
zywiecki	1.152457677923981	2
Swietochlowice	0.4264876403093933	1
bedzinski	0.3785551703964051	1
Bielsko-Biala	0.448745215585835	1
bielski	0.0	0
bierunsko-ledzinski	0.0	0
Bytom	0.0	0
Chorzów	0.0	0
cieszynski	0.3183208382573574	1
Czestochowa	0.3750711788788445	1
czestochowski	0.5123135790478484	1
Dabrowa Gornicza	0.0	0
Gliwice	2.093655084300729	5
gliwicki	0.0	0
Jastrzebie-Zdroj	0.0	0
Jaworzno	1.6693479343265174	3
klobucki	0.3651296359929603	1
Katowice	0.0	0
lubliniecki	0.4215765995397337	1
mikolowski	0.0	0
Myslowice	0.0	0
myszkowski	1.0087274899852214	2
Piekary Slaskie	0.5025825575679468	1
pszczynski	0.4912550428322182	1
raciborski	0.3655733602127783	1
Ruda Slaska	0.0	0
Rybnik	0.5141424410925002	1
rybnicki	0.4794841170332308	1
Siemianowice Slaskie	0.5906958988143063	1
Sosnowiec	0.0	0
tarnogórski	1.6343088287172256	4
Tychy	1.027328595209685	3
wodzislawski	0.8484419846891642	2
Zabrze	0.0	0
zawiercianski	0.0	0
